# Kaggle-optimized requirements for face recognition testing
# Many packages are pre-installed in Kaggle, so this is a minimal list

# Essential packages that may not be pre-installed in Kaggle
kagglehub>=0.2.0          # Dataset download
easydict>=1.9             # Configuration management
face-recognition>=1.3.0   # High-level face recognition
dlib>=19.22.0            # Face detection and landmarks
mtcnn>=0.1.1             # Face detection
insightface>=0.7.3       # Advanced face recognition (optional)

# Usually pre-installed in Kaggle but listed for completeness
# torch>=1.12.0           # Pre-installed
# torchvision>=0.13.0     # Pre-installed
# numpy>=1.21.0           # Pre-installed
# opencv-python>=4.5.0    # Pre-installed
# Pillow>=8.3.0           # Pre-installed
# scikit-learn>=1.0.0     # Pre-installed
# matplotlib>=3.5.0       # Pre-installed
# seaborn>=0.11.0         # Pre-installed
# pandas>=1.3.0           # Pre-installed
# scipy>=1.7.0            # Pre-installed

# Optional packages for enhanced functionality
# plotly>=5.5.0           # For interactive visualizations
# wandb>=0.12.0           # For experiment tracking
